Subject,Run,Console_MEG_Console_Audio_Correlation,Console_MEG_Console_Audio_Offset_s,Subject_MEG_Subject_Audio_Correlation,Subject_MEG_Subject_Audio_Offset_s,Selected_Pairing,Final_Correlation,Final_Offset_s,Quality
sub-06,4,0.9563281683333879,7.75,0.33465179335428363,7.737,console_meg_console_audio,0.9563281683333879,7.75,excellent
sub-06,5,0.8819626503713545,6.745,0.5252427464243856,6.734,console_meg_console_audio,0.8819626503713545,6.745,excellent
sub-07,1,0.9309777007752379,3.481,0.5654673836279092,3.47,console_meg_console_audio,0.9309777007752379,3.481,excellent
sub-07,2,0.9892540060813081,9.794,0.5328388704737436,9.78,console_meg_console_audio,0.9892540060813081,9.794,excellent
sub-07,3,0.9255536925610944,0.804,0.535707929778828,0.781,console_meg_console_audio,0.9255536925610944,0.804,excellent
sub-07,4,0.9954453180504181,3.204,0.49394243622061546,3.19,console_meg_console_audio,0.9954453180504181,3.204,excellent
sub-07,5,0.680768263733562,0.611,0.5203501757610552,0.9,console_meg_console_audio,0.680768263733562,0.611,good
sub-08,1,0.9533358877055131,3.821,0.5082769515486554,3.801,console_meg_console_audio,0.9533358877055131,3.821,excellent
sub-08,2,0.994551170403748,5.537,0.47241859304020495,5.523,console_meg_console_audio,0.994551170403748,5.537,excellent
sub-08,3,0.8874873546629195,2.005,0.44464453734558934,1.987,console_meg_console_audio,0.8874873546629195,2.005,excellent
sub-08,4,0.5783647244118428,2.702,0.36996107110690357,2.694,console_meg_console_audio,0.5783647244118428,2.702,good
sub-08,5,0.93724783714971,3.65,0.4955119256835272,3.635,console_meg_console_audio,0.93724783714971,3.65,excellent
sub-09,1,0.8597992148493748,2.871,0.6111052788741662,2.857,console_meg_console_audio,0.8597992148493748,2.871,excellent
sub-09,2,0.9185072312691771,2.979,0.7260120865754568,2.955,console_meg_console_audio,0.9185072312691771,2.979,excellent
sub-09,3,0.8334754285895479,2.609,0.5882875489007373,2.593,console_meg_console_audio,0.8334754285895479,2.609,excellent
sub-09,4,0.8093277687305621,5.733,0.6155967940216887,5.711,console_meg_console_audio,0.8093277687305621,5.733,excellent
sub-09,5,0.9284824281870795,1.268,0.5995667212967136,1.254,console_meg_console_audio,0.9284824281870795,1.268,excellent
sub-10,1,0.926605566471295,3.02,0.5420130905351239,2.999,console_meg_console_audio,0.926605566471295,3.02,excellent
sub-10,2,0.8817978770846587,3.078,0.48044815368099947,3.063,console_meg_console_audio,0.8817978770846587,3.078,excellent
sub-10,3,0.9089717466377221,3.285,0.5282314545712893,3.266,console_meg_console_audio,0.9089717466377221,3.285,excellent
sub-10,4,0.9873825514249499,0.466,0.42854004418760044,0.453,console_meg_console_audio,0.9873825514249499,0.466,excellent
